gene	rho_liver	rho_pancreas	specificity	panel_rank
SFRP5	0.5107462300358532	0.016719904113102747	0.4940263259227504	1
VTN	0.5268700072788288	0.185321367610335	0.3415486396684938	2
SCGB3A1	0.4685330164440431	0.13132216751697617	0.33721084892706693	3
AQP1	0.3204623094816107	0.026897900750650613	0.29356440873096007	4
KLF2	0.4267172883195434	0.15470270320447158	0.2720145851150718	5
SAA2	0.3347360692987943	0.07249016719263308	0.2622459021061612	6
TFF3	0.36628331341654885	0.12131909898418862	0.24496421443236022	7
SPP1	0.5466938116297766	0.3166037199816299	0.2300900916481467	8
SLPI	0.6061853302383715	0.3865158831531292	0.21966944708524233	9
B3GNT7	0.3453334417609657	0.1374787683798374	0.20785467338112829	10
CD74	0.49515910101138266	0.29276412672753926	0.2023949742838434	11
LGALS2	0.3406578228867133	0.1405954829068826	0.20006233997983072	12
CDKN1C	0.39552694876530825	0.205760575095884	0.18976637366942425	13
CRYAB	0.3998371949776251	0.21087360764016128	0.18896358733746382	14
AMBP	0.36121141504969306	0.1828045104902576	0.17840690455943548	15
LYZ	0.40682936696911126	0.22896071528215953	0.17786865168695173	16
APCS	0.38069522156387886	0.2047537842394979	0.17594143732438097	17
ADH1C	0.3493740663925595	0.17409243037497282	0.1752816360175867	18
MT1M	0.31776148114972425	0.14793015038147825	0.169831330768246	19
PIGR	0.39233855178820376	0.22388424133213852	0.16845431045606524	20
