feature	cell_rho	cell_p	donor_rho	donor_p	n_cells	n_donors
PROX1 (mRNA)	-0.04300820545062494	0.007129807357456927	0.19999999999999998	0.5795840000000001	3913	10
HNF4A (mRNA)	-0.05627777194215164	0.00042819900233516747	0.34545454545454546	0.32822651147136733	3913	10
FOXA2 (mRNA)	-0.25350208738971136	1.9550867473767882e-58	-0.8545454545454544	0.0016368033159867143	3913	10
SOX9 (mRNA)	-0.2616853416873207	2.7702589438370055e-62	-0.7454545454545454	0.013330146315440047	3913	10
HNF1B (mRNA)	0.05384747058405133	0.0007523858010128021	0.49090909090909085	0.14965567342083677	3913	10
SOX9 (regulon)	-0.07135407498078956	7.904643955377694e-06	-0.2606060606060606	0.4670890543863402	3913	10
HNF1B (regulon)	0.04454639627644441	0.005319069548088518	0.05454545454545454	0.8810361811618526	3913	10
ONECUT1 (regulon)	-0.10272766196096449	1.1867587333698941e-10	-0.29696969696969694	0.4047016712701569	3913	10
GATA6 (regulon)	-0.04742864334805767	0.003001616217688036	0.11515151515151514	0.7514196523258483	3913	10
FOXA1 (regulon)	-0.008954481360306089	0.5754994351467464	0.38181818181818183	0.27625533338543595	3913	10
FOXA2 (regulon)	-0.010283373440558907	0.5201738884950304	0.5030303030303029	0.13833369839449197	3913	10
HNF4A (regulon)	-0.060390651677660494	0.00015687964731934191	0.07878787878787878	0.8287173946974606	3913	10
PROX1 (regulon)	-0.015432450183594378	0.33448963405946575	0.4424242424242424	0.20042268671194224	3913	10
WNT_pathway (regulon)	-0.20137111576263872	4.401440608559099e-37	0.6363636363636362	0.04791172612997547	3913	10
YAP_pathway (regulon)	-0.2318814136344686	6.324843779818056e-49	-0.3939393939393939	0.25999776683488757	3913	10
BILIARY_id (regulon)	-0.08792564255687477	3.608510339767367e-08	-0.1515151515151515	0.6760651759978538	3913	10
HEPATOCYTE_id (regulon)	0.017475897588308958	0.27442845268815624	0.3696969696969697	0.2930500752928223	3913	10
